id,name,location,properties,source
101285,Kurikka Hirvijärvi,"(62.472937, 22.909561)","{'locationcode/name': 'Kurikka Hirvijärvi', 'locationcode/geoid': '-101285', 'location/region': 'Kurikka', 'location/country': 'Finland'}",FMI
101289,Kauhajoki Kuja-Kokko,"(62.413445, 22.183722)","{'locationcode/name': 'Kauhajoki Kuja-Kokko', 'locationcode/geoid': '-16000013', 'locationcode/wmo': '02769', 'location/region': 'Kauhajoki', 'location/country': 'Finland'}",FMI
101291,Kankaanpää Niinisalo lentokenttä,"(61.838642, 22.463678)","{'locationcode/name': 'Kankaanpää Niinisalo lentokenttä', 'locationcode/geoid': '-16000182', 'locationcode/wmo': '02753', 'location/region': 'Kankaanpää', 'location/country': 'Finland'}",FMI
101305,Alavus Sulkavankylä,"(62.44881, 23.55334)","{'locationcode/name': 'Alavus Sulkavankylä', 'locationcode/geoid': '-101305', 'location/region': 'Alavus', 'location/country': 'Finland'}",FMI
101310,Virrat Äijänneva,"(62.327833, 23.542283)","{'locationcode/name': 'Virrat Äijänneva', 'locationcode/geoid': '-16000037', 'locationcode/wmo': '02735', 'location/region': 'Virrat', 'location/country': 'Finland'}",FMI
101311,Tampere Siilinkari,"(61.517566, 23.753878)","{'locationcode/name': 'Tampere Siilinkari', 'locationcode/geoid': '-16000074', 'locationcode/wmo': '02943', 'location/region': 'Tampere', 'location/country': 'Finland'}",FMI
101315,Jämsä Halli lentoasema,"(61.855507, 24.804592)","{'locationcode/name': 'Jämsä Halli lentoasema', 'locationcode/geoid': '-16000018', 'locationcode/wmo': '02945', 'locationcode/icao': 'EFHA', 'location/region': 'Jämsä', 'location/country': 'Finland'}",FMI
101317,Juupajoki Hyytiälä,"(61.84591, 24.286964)","{'locationcode/name': 'Juupajoki Hyytiälä', 'locationcode/geoid': '-16000089', 'locationcode/wmo': '02770', 'location/region': 'Juupajoki', 'location/country': 'Finland'}",FMI
101338,Jämsä Halli Lentoasemantie,"(61.85959, 24.814833)","{'locationcode/name': 'Jämsä Halli Lentoasemantie', 'locationcode/geoid': '-16011681', 'locationcode/wmo': '02946', 'location/region': 'Jämsä', 'location/country': 'Finland'}",FMI
101339,Jyväskylä lentoasema,"(62.397585, 25.670867)","{'locationcode/name': 'Jyväskylä lentoasema', 'locationcode/geoid': '-16000167', 'locationcode/wmo': '02935', 'location/region': 'Jyväskylä', 'location/country': 'Finland'}",FMI
101342,Sysmä Joutsjärvi,"(61.510861, 25.811472)","{'locationcode/name': 'Sysmä Joutsjärvi', 'locationcode/geoid': '-101342', 'location/region': 'Sysmä', 'location/country': 'Finland'}",FMI
101352,Jyväskylä Muuratjärvi,"(62.156848, 25.42166)","{'locationcode/name': 'Jyväskylä Muuratjärvi', 'locationcode/geoid': '-101352', 'location/region': 'Jyväskylä', 'location/country': 'Finland'}",FMI
101362,Luhanka Judinsalo,"(61.704484, 25.505293)","{'locationcode/name': 'Luhanka Judinsalo', 'locationcode/geoid': '-16000051', 'locationcode/wmo': '02765', 'location/region': 'Luhanka', 'location/country': 'Finland'}",FMI
101363,Multia Pirttiperä,"(62.410515, 25.049956)","{'locationcode/name': 'Multia Pirttiperä', 'locationcode/geoid': '-101363', 'location/region': 'Multia', 'location/country': 'Finland'}",FMI
101367,Joutsa Savenaho,"(61.879418, 26.094783)","{'locationcode/name': 'Joutsa Savenaho', 'locationcode/geoid': '-16000081', 'locationcode/wmo': '02771', 'location/region': 'Joutsa', 'location/country': 'Finland'}",FMI
101385,Kangasniemi kirkonkylä,"(61.98111, 26.64228)","{'locationcode/name': 'Kangasniemi kirkonkylä', 'locationcode/geoid': '-101385', 'location/region': 'Kangasniemi', 'location/country': 'Finland'}",FMI
101390,Joutsa Pärnämäki,"(61.765222, 26.391556)","{'locationcode/name': 'Joutsa Pärnämäki', 'locationcode/geoid': '-101390', 'location/region': 'Joutsa', 'location/country': 'Finland'}",FMI
101398,Mikkeli lentoasema,"(61.688597, 27.202188)","{'locationcode/name': 'Mikkeli lentoasema', 'locationcode/geoid': '-16000191', 'locationcode/wmo': '02947', 'location/region': 'Mikkeli', 'location/country': 'Finland'}",FMI
101410,Mikkeli Pitkähiekka,"(62.013326, 27.192967)","{'locationcode/name': 'Mikkeli Pitkähiekka', 'locationcode/geoid': '-101410', 'location/region': 'Mikkeli', 'location/country': 'Finland'}",FMI
101418,Juva Partala,"(61.892296, 27.885278)","{'locationcode/name': 'Juva Partala', 'locationcode/geoid': '-16000145', 'locationcode/wmo': '02736', 'location/region': 'Juva', 'location/country': 'Finland'}",FMI
101421,Varkaus Kosulanniemi,"(62.322213, 27.90785)","{'locationcode/name': 'Varkaus Kosulanniemi', 'locationcode/geoid': '-16000199', 'locationcode/wmo': '02850', 'location/region': 'Varkaus', 'location/country': 'Finland'}",FMI
